,eta1,eta2
22410,Total trunk fat volume,
22432,Total abdominal adipose tissue index,
22408,Abdominal subcutaneous adipose tissue volume (ASAT),
22407,Visceral adipose tissue volume (VAT),Visceral adipose tissue volume (VAT)
22433,Weight-to-muscle ratio,Weight-to-muscle ratio
22435,,Muscle fat infiltration
24354,,Anterior thigh muscle fat infiltration (MFI) (right)
24353,,Anterior thigh muscle fat infiltration (MFI) (left)
23355,,Posterior thigh muscle fat infiltration (MFI) (left)
23356,,Posterior thigh muscle fat infiltration (MFI) (right)
