,eta1
27417,Mean thickness of G-front-middle (left hemisphere)
27689,Mean thickness of S-parieto-occipital (right hemisphere)
27455,Mean thickness of S-front-middle (left hemisphere)
27451,Mean thickness of S-circular-insula-sup (left hemisphere)
27440,Mean thickness of G-temporal-middle (left hemisphere)
27463,Mean thickness of S-oc-temp-med+Lingual (left hemisphere)
27405,Mean thickness of G+S-paracentral (left hemisphere)
27473,Mean thickness of S-subparietal (left hemisphere)
27633,Mean thickness of G-cingul-Post-dorsal (right hemisphere)
27685,Mean thickness of S-oc-temp-med+Lingual (right hemisphere)
27453,Mean thickness of S-collat-transv-post (left hemisphere)
27675,Mean thickness of S-collat-transv-post (right hemisphere)
27686,Mean thickness of S-orbital-lateral (right hemisphere)
