,eta1,eta2,eta3
27418,Mean thickness of G-front-sup (left hemisphere),,
27417,Mean thickness of G-front-middle (left hemisphere),,
27427,Mean thickness of G-pariet-inf-Angular (left hemisphere),,
27428,Mean thickness of G-pariet-inf-Supramar (left hemisphere),,
27456,Mean thickness of S-front-sup (left hemisphere),,
27432,Mean thickness of G-precuneus (left hemisphere),,
27429,Mean thickness of G-parietal-sup (left hemisphere),,
27458,Mean thickness of S-intrapariet+P-trans (left hemisphere),,
27421,Mean thickness of G-occipital-middle (left hemisphere),,
27440,Mean thickness of G-temporal-middle (left hemisphere),,
27447,Mean thickness of S-central (left hemisphere),,
27454,Mean thickness of S-front-inf (left hemisphere),,
27423,Mean thickness of G-oc-temp-lat-fusifor (left hemisphere),,
27467,Mean thickness of S-parieto-occipital (left hemisphere),,
27436,Mean thickness of G-temp-sup-Lateral (left hemisphere),Mean thickness of G-temp-sup-Lateral (left hemisphere),
27451,Mean thickness of S-circular-insula-sup (left hemisphere),,
27455,Mean thickness of S-front-middle (left hemisphere),,
27439,Mean thickness of G-temporal-inf (left hemisphere),,
27411,Mean thickness of G-cingul-Post-dorsal (left hemisphere),,
27473,Mean thickness of S-subparietal (left hemisphere),,
27410,Mean thickness of G+S-cingul-Mid-Post (left hemisphere),,
27474,Mean thickness of S-temporal-inf (left hemisphere),,
27437,,Mean thickness of G-temp-sup-Plan-polar (left hemisphere),
27672,,Mean thickness of S-circular-insula-inf (right hemisphere),Mean thickness of S-circular-insula-inf (right hemisphere)
27640,,,Mean thickness of G-front-sup (right hemisphere)
27639,,,Mean thickness of G-front-middle (right hemisphere)
27649,,,Mean thickness of G-pariet-inf-Angular (right hemisphere)
27651,,,Mean thickness of G-parietal-sup (right hemisphere)
27654,,,Mean thickness of G-precuneus (right hemisphere)
27680,,,Mean thickness of S-intrapariet+P-trans (right hemisphere)
27669,,,Mean thickness of S-central (right hemisphere)
27662,,,Mean thickness of G-temporal-middle (right hemisphere)
27645,,,Mean thickness of G-oc-temp-lat-fusifor (right hemisphere)
27670,,,Mean thickness of S-cingul-Marginalis (right hemisphere)
27633,,,Mean thickness of G-cingul-Post-dorsal (right hemisphere)
27682,,,Mean thickness of S-oc-sup+transversal (right hemisphere)
27673,,,Mean thickness of S-circular-insula-sup (right hemisphere)
27679,,,Mean thickness of S-interm-prim-Jensen (right hemisphere)
27685,,,Mean thickness of S-oc-temp-med+Lingual (right hemisphere)
