,eta1,eta2,eta3,eta4,eta5,eta6,eta7
27418,Mean thickness of G-front-sup (left hemisphere),,,Mean thickness of G-front-sup (left hemisphere),,,
27417,Mean thickness of G-front-middle (left hemisphere),,,,,,
27427,Mean thickness of G-pariet-inf-Angular (left hemisphere),,,,,,
27428,Mean thickness of G-pariet-inf-Supramar (left hemisphere),,,,,,
27456,Mean thickness of S-front-sup (left hemisphere),,,,,,
27432,Mean thickness of G-precuneus (left hemisphere),,,,,,
27429,Mean thickness of G-parietal-sup (left hemisphere),,,,,,
27447,Mean thickness of S-central (left hemisphere),,,Mean thickness of S-central (left hemisphere),,,
27421,Mean thickness of G-occipital-middle (left hemisphere),,,,,,
27458,Mean thickness of S-intrapariet+P-trans (left hemisphere),,,,,,
27469,Mean thickness of S-postcentral (left hemisphere),,,,,,
27454,Mean thickness of S-front-inf (left hemisphere),,,,,,
27431,Mean thickness of G-precentral (left hemisphere),,,Mean thickness of G-precentral (left hemisphere),,,
27416,Mean thickness of G-front-inf-Triangul (left hemisphere),,,,,,
27440,Mean thickness of G-temporal-middle (left hemisphere),,,,,,
27467,Mean thickness of S-parieto-occipital (left hemisphere),,,,,,
27423,Mean thickness of G-oc-temp-lat-fusifor (left hemisphere),,,,,,
27430,Mean thickness of G-postcentral (left hemisphere),,,Mean thickness of G-postcentral (left hemisphere),,,
27414,Mean thickness of G-front-inf-Opercular (left hemisphere),,,,Mean thickness of G-front-inf-Opercular (left hemisphere),,
27426,Mean thickness of G-orbital (left hemisphere),,,,,,
27436,Mean thickness of G-temp-sup-Lateral (left hemisphere),,,,,Mean thickness of G-temp-sup-Lateral (left hemisphere),
27406,Mean thickness of G+S-subcentral (left hemisphere),,,,,Mean thickness of G+S-subcentral (left hemisphere),
27405,Mean thickness of G+S-paracentral (left hemisphere),,,Mean thickness of G+S-paracentral (left hemisphere),,,
27451,Mean thickness of S-circular-insula-sup (left hemisphere),,,,,,
27455,Mean thickness of S-front-middle (left hemisphere),,,,,,
27422,Mean thickness of G-occipital-sup (left hemisphere),,,,,,
27460,Mean thickness of S-oc-sup+transversal (left hemisphere),,,,,,
27438,Mean thickness of G-temp-sup-Plan-tempo (left hemisphere),,,,,Mean thickness of G-temp-sup-Plan-tempo (left hemisphere),
27439,Mean thickness of G-temporal-inf (left hemisphere),,,,,,
27446,Mean thickness of S-calcarine (left hemisphere),,,,,,
27410,Mean thickness of G+S-cingul-Mid-Post (left hemisphere),,,,,,
27411,Mean thickness of G-cingul-Post-dorsal (left hemisphere),,,,,,
27473,Mean thickness of S-subparietal (left hemisphere),,,,,,
27407,Mean thickness of G+S-transv-frontopol (left hemisphere),,,,,,
27415,Mean thickness of G-front-inf-Orbital (left hemisphere),,,,,,
27463,Mean thickness of S-oc-temp-med+Lingual (left hemisphere),,,,,,Mean thickness of S-oc-temp-med+Lingual (left hemisphere)
27413,Mean thickness of G-cuneus (left hemisphere),,Mean thickness of G-cuneus (left hemisphere),,,,
27459,Mean thickness of S-oc-middle+Lunatus (left hemisphere),,,,,,
27424,Mean thickness of G-oc-temp-med-Lingual (left hemisphere),,Mean thickness of G-oc-temp-med-Lingual (left hemisphere),,,,
27453,Mean thickness of S-collat-transv-post (left hemisphere),,,,,,
27464,Mean thickness of S-orbital-lateral (left hemisphere),,,,,,
27639,,Mean thickness of G-front-middle (right hemisphere),,,,,
27640,,Mean thickness of G-front-sup (right hemisphere),,Mean thickness of G-front-sup (right hemisphere),,,
27650,,Mean thickness of G-pariet-inf-Supramar (right hemisphere),,,,,
27649,,Mean thickness of G-pariet-inf-Angular (right hemisphere),,,,,
27669,,Mean thickness of S-central (right hemisphere),,Mean thickness of S-central (right hemisphere),,,
27651,,Mean thickness of G-parietal-sup (right hemisphere),,,,,
27678,,Mean thickness of S-front-sup (right hemisphere),,,,,
27654,,Mean thickness of G-precuneus (right hemisphere),,,,,
27662,,Mean thickness of G-temporal-middle (right hemisphere),,,,,
27653,,Mean thickness of G-precentral (right hemisphere),,Mean thickness of G-precentral (right hemisphere),,,
27643,,Mean thickness of G-occipital-middle (right hemisphere),,,,,
27658,,Mean thickness of G-temp-sup-Lateral (right hemisphere),,,,Mean thickness of G-temp-sup-Lateral (right hemisphere),
27680,,Mean thickness of S-intrapariet+P-trans (right hemisphere),,,,,
27636,,Mean thickness of G-front-inf-Opercular (right hemisphere),,,Mean thickness of G-front-inf-Opercular (right hemisphere),,
27645,,Mean thickness of G-oc-temp-lat-fusifor (right hemisphere),,,,,
27638,,Mean thickness of G-front-inf-Triangul (right hemisphere),,,Mean thickness of G-front-inf-Triangul (right hemisphere),,
27648,,Mean thickness of G-orbital (right hemisphere),,,,,
27660,,Mean thickness of G-temp-sup-Plan-tempo (right hemisphere),,,,Mean thickness of G-temp-sup-Plan-tempo (right hemisphere),
27665,,Mean thickness of Lat-Fis-post (right hemisphere),,,,Mean thickness of Lat-Fis-post (right hemisphere),
27689,,Mean thickness of S-parieto-occipital (right hemisphere),,,,,
27670,,Mean thickness of S-cingul-Marginalis (right hemisphere),,,,,
27627,,Mean thickness of G+S-paracentral (right hemisphere),,Mean thickness of G+S-paracentral (right hemisphere),,,
27652,,Mean thickness of G-postcentral (right hemisphere),,Mean thickness of G-postcentral (right hemisphere),,,
27629,,Mean thickness of G+S-transv-frontopol (right hemisphere),,,,,
27661,,Mean thickness of G-temporal-inf (right hemisphere),,,,,
27633,,Mean thickness of G-cingul-Post-dorsal (right hemisphere),,,,,
27637,,Mean thickness of G-front-inf-Orbital (right hemisphere),,,Mean thickness of G-front-inf-Orbital (right hemisphere),,
27672,,Mean thickness of S-circular-insula-inf (right hemisphere),,,,Mean thickness of S-circular-insula-inf (right hemisphere),
27685,,Mean thickness of S-oc-temp-med+Lingual (right hemisphere),,,,,Mean thickness of S-oc-temp-med+Lingual (right hemisphere)
27679,,Mean thickness of S-interm-prim-Jensen (right hemisphere),,,,,
27686,,Mean thickness of S-orbital-lateral (right hemisphere),,,Mean thickness of S-orbital-lateral (right hemisphere),,
27681,,Mean thickness of S-oc-middle+Lunatus (right hemisphere),,,,,
27675,,Mean thickness of S-collat-transv-post (right hemisphere),,,,,
27646,,Mean thickness of G-oc-temp-med-Lingual (right hemisphere),Mean thickness of G-oc-temp-med-Lingual (right hemisphere),,,,
27634,,Mean thickness of G-cingul-Post-ventral (right hemisphere),Mean thickness of G-cingul-Post-ventral (right hemisphere),,,,
27687,,Mean thickness of S-orbital-med-olfact (right hemisphere),,,,,
27412,,,Mean thickness of G-cingul-Post-ventral (left hemisphere),,,,
27664,,,,,Mean thickness of Lat-Fis-ant-Vertical (right hemisphere),,
27657,,,,,,Mean thickness of G-temp-sup-G-T-transv (right hemisphere),
