Field ID,Field Description,Short Name,Category,Type,Instance,Data Coding,To Exclude 1,To Exclude 2,Notes
20507,Recent feelings of inadequacy,,Depression,Dep sympt,0,504,-818,,PHQ-9
20508,Recent trouble concentrating on things,,Depression,Dep sympt,0,504,-818,,PHQ-9
20510,Recent feelings of depression,,Depression,Dep sympt,0,504,-818,,PHQ-9
20511,Recent poor appetite or overeating,,Depression,Dep sympt,0,504,-818,,PHQ-9
20513,Recent thoughts of suicide or self-harm,,Depression,Dep sympt,0,504,-818,,PHQ-9
20514,Recent lack of interest or pleasure in doing things,,Depression,Dep sympt,0,504,-818,,PHQ-9
20517,"Trouble falling or staying asleep, or sleeping too much",,Depression,Dep sympt,0,504,-818,,PHQ-9
20518,Recent changes in speed/amount of moving or speaking,,Depression,Dep sympt,0,504,-818,,PHQ-9
20519,Recent feelings of tiredness or low energy,,Depression,Dep sympt,0,504,-818,,PHQ-9
20505,Recent easy annoyance or irritability,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20506,Recent feelings of nervousness or anxiety,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20509,Recent inability to stop or control worrying,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20512,Recent feelings of foreboding,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20515,Recent trouble relaxing,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20516,Recent restlessness,,Anxiety,Dep sympt,0,504,-818,,GAD-7
20520,Recent worrying too much about different things,,Anxiety,Dep sympt,0,504,-818,,GAD-7
2050,Frequency of depressed mood in last 2 weeks,,Mental health,Dep sympt,2,100484,-1,-3,RDS-4
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,,Mental health,Dep sympt,2,100484,-1,-3,RDS-4
2070,Frequency of tenseness / restlessness in last 2 weeks,,Mental health,Dep sympt,2,100484,-1,-3,RDS-4
2080,Frequency of tiredness / lethargy in last 2 weeks,,Mental health,Dep sympt,2,100484,-1,-3,RDS-4
1920,Mood swings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1930,Miserableness,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1940,Irritability,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1950,Sensitivity / hurt feelings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1960,Fed-up feelings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1970,Nervous feelings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1980,Worrier / anxious feelings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
1990,Tense / 'highly strung',,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
2000,Worry too long after embarassment,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
2010,Suffer from 'nerves',,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
2020,"Loneliness, isolation",,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
2030,Guilty feelings,,Psychosocial factors,Dep sympt,2,100349,-1,-3,N-12
21003,Age when attended assessment centre,Age,Reception,Sociodemo,2,,,,
6138,Qualifications,Education,Education,Sociodemo,2,100305,-3,,
738,Average total household income before tax,Household income,Household,Sociodemo,2,100294,-1,-3,
31,Sex,Sex,Baseline characteristics,Sociodemo,0,9,,,
22403,Anterior thigh fat-free muscle volume (right),R-ant-thigh FFMV,Abdominal composition,Body fat,2,,,,
22404,Posterior thigh fat-free muscle volume (right),R-post-thigh FFMV,Abdominal composition,Body fat,2,,,,
22405,Anterior thigh fat-free muscle volume (left),L-ant-thigh FFMV,Abdominal composition,Body fat,2,,,,
22406,Posterior thigh fat-free muscle volume (left),L-post-thigh FFMV,Abdominal composition,Body fat,2,,,,
22407,Visceral adipose tissue volume (VAT),VAT,Abdominal composition,Body fat,2,,,,
22408,Abdominal subcutaneous adipose tissue volume (ASAT),ASAT,Abdominal composition,Body fat,2,,,,
22409,Total thigh fat-free muscle volume,Total thigh FFMV,Abdominal composition,Body fat,2,,,,
22410,Total trunk fat volume,Total trunk fat,Abdominal composition,Body fat,2,,,,
22432,Total abdominal adipose tissue index,Total abdom ATI,Abdominal composition,Body fat,2,,,,
22433,Weight-to-muscle ratio,Weight-to-muscle,Abdominal composition,Body fat,2,,,,
22434,Abdominal fat ratio,Abdom fat,Abdominal composition,Body fat,2,,,,
22435,Muscle fat infiltration,MFI,Abdominal composition,Body fat,2,,,,
23355,Posterior thigh muscle fat infiltration (MFI) (left),L-post-thigh MFI,Abdominal composition,Body fat,2,,,,
23356,Posterior thigh muscle fat infiltration (MFI) (right),R-post-thigh MFI,Abdominal composition,Body fat,2,,,,
24353,Anterior thigh muscle fat infiltration (MFI) (left),L-ant-thigh MFI,Abdominal composition,Body fat,2,,,,
24354,Anterior thigh muscle fat infiltration (MFI) (right),R-ant-thigh MFI,Abdominal composition,Body fat,2,,,,
21001,Body mass index (BMI),BMI,Body size measures,Body fat,0,,,,
27477,Volume of G+S-frontomargin (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27478,Volume of G+S-occipital-inf (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27479,Volume of G+S-paracentral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27480,Volume of G+S-subcentral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27481,Volume of G+S-transv-frontopol (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27482,Volume of G+S-cingul-Ant (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27483,Volume of G+S-cingul-Mid-Ant (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27484,Volume of G+S-cingul-Mid-Post (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27485,Volume of G-cingul-Post-dorsal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27486,Volume of G-cingul-Post-ventral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27487,Volume of G-cuneus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27488,Volume of G-front-inf-Opercular (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27489,Volume of G-front-inf-Orbital (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27490,Volume of G-front-inf-Triangul (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27491,Volume of G-front-middle (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27492,Volume of G-front-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27493,Volume of G-Ins-lg+S-cent-ins (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27494,Volume of G-insular-short (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27495,Volume of G-occipital-middle (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27496,Volume of G-occipital-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27497,Volume of G-oc-temp-lat-fusifor (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27498,Volume of G-oc-temp-med-Lingual (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27499,Volume of G-oc-temp-med-Parahip (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27500,Volume of G-orbital (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27501,Volume of G-pariet-inf-Angular (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27502,Volume of G-pariet-inf-Supramar (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27503,Volume of G-parietal-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27504,Volume of G-postcentral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27505,Volume of G-precentral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27506,Volume of G-precuneus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27507,Volume of G-rectus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27508,Volume of G-subcallosal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27509,Volume of G-temp-sup-G-T-transv (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27510,Volume of G-temp-sup-Lateral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27511,Volume of G-temp-sup-Plan-polar (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27512,Volume of G-temp-sup-Plan-tempo (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27513,Volume of G-temporal-inf (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27514,Volume of G-temporal-middle (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27515,Volume of Lat-Fis-ant-Horizont (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27516,Volume of Lat-Fis-ant-Vertical (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27517,Volume of Lat-Fis-post (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27518,Volume of Pole-occipital (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27519,Volume of Pole-temporal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27520,Volume of S-calcarine (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27521,Volume of S-central (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27522,Volume of S-cingul-Marginalis (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27523,Volume of S-circular-insula-ant (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27524,Volume of S-circular-insula-inf (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27525,Volume of S-circular-insula-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27526,Volume of S-collat-transv-ant (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27527,Volume of S-collat-transv-post (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27528,Volume of S-front-inf (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27529,Volume of S-front-middle (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27530,Volume of S-front-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27531,Volume of S-interm-prim-Jensen (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27532,Volume of S-intrapariet+P-trans (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27533,Volume of S-oc-middle+Lunatus (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27534,Volume of S-oc-sup+transversal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27535,Volume of S-occipital-ant (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27536,Volume of S-oc-temp-lat (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27537,Volume of S-oc-temp-med+Lingual (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27538,Volume of S-orbital-lateral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27539,Volume of S-orbital-med-olfact (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27540,Volume of S-orbital-H-Shaped (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27541,Volume of S-parieto-occipital (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27542,Volume of S-pericallosal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27543,Volume of S-postcentral (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27544,Volume of S-precentral-inf-part (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27545,Volume of S-precentral-sup-part (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27546,Volume of S-suborbital (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27547,Volume of S-subparietal (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27548,Volume of S-temporal-inf (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27549,Volume of S-temporal-sup (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27550,Volume of S-temporal-transverse (left hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27699,Volume of G+S-frontomargin (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27700,Volume of G+S-occipital-inf (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27701,Volume of G+S-paracentral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27702,Volume of G+S-subcentral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27703,Volume of G+S-transv-frontopol (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27704,Volume of G+S-cingul-Ant (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27705,Volume of G+S-cingul-Mid-Ant (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27706,Volume of G+S-cingul-Mid-Post (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27707,Volume of G-cingul-Post-dorsal (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27708,Volume of G-cingul-Post-ventral (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27709,Volume of G-cuneus (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27710,Volume of G-front-inf-Opercular (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27711,Volume of G-front-inf-Orbital (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27712,Volume of G-front-inf-Triangul (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27713,Volume of G-front-middle (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27714,Volume of G-front-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27715,Volume of G-Ins-lg+S-cent-ins (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27716,Volume of G-insular-short (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27717,Volume of G-occipital-middle (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27718,Volume of G-occipital-sup (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
27719,Volume of G-oc-temp-lat-fusifor (right hemisphere),,T1 structural brain MRI,Brain GMV,2,,,,
